x_lower, x_upper, y_lower, y_upper
204,213.07566703414656,249.04839700234382,258
202,210.2377653011223,245.9016202133405,254
208,217.97873722827123,243.44750115096022,254
208,220.8312136640613,253.08383472841442,259
204,216.8379029058555,239.75254985943644,253
205,210.24199843521654,238.00255462491168,252
206,213.27546972831703,242.79882256031698,249
205,219.5196520505553,234.31781965752512,247
201,213.93189046876063,235.08703864447338,249
212,218.45381311117225,238.45266958135065,248
211,218.00967673272154,243.15561886044625,255
211,219.62881684096723,238.95885180409144,251
210,221.62936887751363,235.4862709126424,248
207,220.23358383652638,233.7936965525683,248
205,216.29887276452854,239.75786788001966,245
200,207.4286390484858,242.28250758969688,249
201,214.62290702994335,247.20523360995094,253
201,213.81261120685932,241.94426919490388,254
201,213.90915029362333,254.25958842142717,261
204,211.79407868906333,248.76834309459514,263
209,223.41294279134416,247.55216660376493,261
213,219.14093809640227,252.21456309974977,258
204,212.71108155363132,235.81293175526025,246
199,204.96328981675063,250.3909795315464,259
198,203.16514926460508,244.7812081967368,253
198,210.17965296423276,236.88381772502674,250
202,212.149168336056,238.27885423484923,247
208,215.9235527812035,234.2129826980422,246
214,224.10303498507477,238.3795166251851,248
215,221.43246033161648,239.6976982638985,254
215,223.64843900258666,249.45537629487225,257
211,224.30960520673787,248.56316886000639,263
211,222.3266516815132,250.13594857815315,264
211,223.77503907459945,243.57946032308365,256
212,219.76921772279934,245.9935457001538,253
214,225.65376637147187,253.88995488065098,259
205,214.22854771770153,252.2074446062277,261
201,214.18541392682164,254.17621560533902,261
199,209.44074945658485,243.29399164309245,254
202,213.29964268731732,238.99960320823305,252
206,211.90483540618564,238.70346076846178,252
208,217.63534802275626,237.52056217836707,252
507,521.420974754961,246.75921239092452,258
506,519.2856096126517,252.42526001874668,258
502,508.804556704663,245.35794555004063,255
503,513.0048955812711,244.40977220469188,250
506,512.5031829572041,238.67342718748898,248
510,516.1827472384283,257.6467334845264,263
508,519.1290744715616,243.54154352984258,258
509,517.9883968855395,250.4874330228123,256
508,513.4019480851796,241.16802131555247,251
511,519.0972923211027,235.56779281495145,245
515,523.9226314126287,238.26067582384215,246
515,521.7708709296021,246.80515491210485,253
517,522.6316791953132,237.36937156253165,250
515,520.0903978242534,239.02608913509332,250
513,522.6587385067846,254.9741287189925,261
517,525.7568309940552,253.8371091692615,261
517,522.7307617083494,250.39872133484062,259
511,519.1820402909278,244.71226342751885,258
512,521.2772369567987,246.44182053864765,254
512,525.7364380694129,244.90220317958529,253
512,517.601658979225,245.50117403029188,252
507,516.1044598114769,236.05857929885974,249
503,508.8253929803073,240.26414681131965,249
507,515.171788426457,240.3495366264327,248
511,523.9018273735147,232.9565352291474,246
514,522.4628250892079,243.15769631751002,249
511,524.4752608435518,241.05636391099284,247
507,514.4533021469892,240.5459320199227,253
504,513.2547864745055,234.23916839421332,248
504,510.3133711355673,242.86359254477196,252
507,519.6471381852006,229.92262942465123,243
515,522.8035960076048,228.6404012755452,243
522,532.9140896064815,233.98779304706548,246
522,528.6433165360364,239.35854150053757,251
517,529.7455419546442,243.7531056126977,256
520,530.4439460298616,245.8846246339403,253
520,534.074273387994,238.19991828777654,250
515,521.447565685022,232.98397309844393,247
523,532.0740879241883,237.92839906070097,252
519,528.4060338308561,240.3596464543639,255
520,528.657223246097,251.73083216482183,259
521,527.760228073974,256.3354545434391,262
520,527.4246293601453,252.83282127105082,258
520,527.7488380785302,243.07946926416122,249
514,526.9894434720518,229.97093145750688,244
521,531.8836430229803,239.56312577401758,246
522,534.3816545830285,233.92650630558535,248
516,530.0946009933084,235.71543028671707,245
518,526.433074058899,230.28600858589348,245
519,527.2772000844401,238.80631955728805,245
521,530.8968983074113,235.31486475643635,249
517,526.0344205170663,242.79325134880898,255
511,517.8813742637805,248.78259344158943,258
507,514.6249898671354,241.37564887446828,251
511,518.8643761121683,233.24095195287015,247
518,528.8262204939514,240.2551300060914,254
509,518.0960670936087,254.9602736676077,263
268,280.41562054161454,337.6333427643117,348
270,279.91470714278745,288.9561900201504,300
268,279.21763052168416,284.6900400911973,292
276,281.2985276964759,311.61127464359885,324
253,262.0776131259864,297.4646786258819,307
282,294.5714793410728,278.1742892825329,286
286,299.42437575933525,332.1813308992889,338
245,255.32708546397063,282.4532324193678,293
229,239.25071442549708,242.8833824326659,248
242,255.51893977346438,212.8298402944955,223
277,288.5032076235173,239.84746250648578,247
246,253.63369404507645,217.46556504404828,229
281,287.7360047013915,248.58271488761423,261
255,264.6474714487581,225.80263443052164,235
281,293.2036251359829,218.7636400696733,232
243,251.49873450435956,243.28967136894317,250
262,267.95485489209574,184.54377459221217,190
284,297.8475536661503,206.2850010083475,218
272,286.6066205885378,178.49465457959602,186
280,288.31813928206003,200.68818345646974,215
282,294.66916616604885,143.07387200987299,156
290,298.1470652394166,185.01036001442685,195
316,327.19896646166575,152.79615768768656,166
298,307.95539379864164,161.51450973940294,168
318,330.0446635369008,173.20100433346136,181
324,331.0508305954936,153.89920644331053,166
313,327.5154916807836,195.63760837319256,209
326,340.01445148271983,180.29598928993,186
312,324.82205057656694,202.26204368991694,209
312,320.14418547729247,231.21411231016265,245
317,328.5057768678725,208.03549143115887,221
297,306.73933963277636,231.22723947665074,244
289,301.0613594803678,263.2312986718656,269
299,309.05863920079065,281.2273333728594,291
296,301.05035287669693,254.39702893845853,263
319,328.6940724351091,293.07896712594066,302
300,305.1792526022396,325.0766582915981,337
