x_lower, x_upper, y_lower, y_upper
161,203.4684661591914,18.23146755146434,78
149,172.90585974272216,103.56303499723529,113
145,233.85934855411875,85.8359847161797,149
141,234.61299342417027,171.5001249423144,178
141,209.7995788601003,192.71574331284782,229
146,224.5508438136419,172.95086456782272,264
161,232.776848054175,224.20549428827798,298
179,230.56356280147008,269.9238650301721,329
215,304.84933016050206,333.27588097940094,356
265,296.58884132528226,316.0674854036431,373
316,385.3032667286423,341.61929260374876,374
377,429.2510634444394,332.03422377017455,372
447,529.7757003333725,355.6275017297887,363
515,540.3285948505479,300.4041055452785,351
495,552.5720153853299,357.07970589521784,410
426,494.98920147762266,443.8132111952262,466
319,374.7089715193257,412.7552579101902,431
195,211.28497914535387,415.7190169406178,476
115,183.35491212015668,368.96653712272416,442
52,147.94612857334957,439.311669396619,464
160,165.48852988012723,333.86034908118063,376
215,289.4749692311726,372.98199260892125,441
104,171.69647147077035,376.8709339287902,434
99,191.02171144271472,308.14202175412913,367
27,52.40148219485641,306.12684892639845,406
151,245.96876080713005,403.3114724529771,411
301,354.8126734487578,322.40385679124427,419
409,419.32689167256535,324.16380224644803,397
348,440.40134639339936,449.35659224506475,472
342,401.16615517206014,339.47002102003717,396
150,214.3066844517524,342.18957168964397,386
257,299.4004880235278,325.6733263291915,413
114,158.00135573371017,301.0723034529346,333
42,94.80799865588897,273.11994839977467,358
45,134.32126758041403,131.98869924278665,201
89,132.87507006787473,192.25599829669574,262
58,72.578410647871,213.9379315418549,297
94,117.37567968007554,268.5357111664287,285
69,149.22362785088356,148.79312578712353,218
27,40.107978973917675,161.48811933949068,206
27,87.54126384073805,46.90603152358341,142
77,104.64711654562214,55.351587706877496,151
109,122.02604456775404,45.21953956847276,103
121,144.22574949945562,32.57627691375844,55
65,121.98496550488686,-16.752975374696092,35
46,86.468111518806,22.012450463433723,51
52,62.597530856368785,37.12988653309,108
81,180.62162621816083,-20.984541394151364,61
30,95.3001078351293,-24.668472993683864,70
48,92.69295289041087,202.45072988060417,298
78,101.31351605966398,197.03767936665662,218
111,182.85786778006326,110.90629619012304,166
121,188.12932886361557,270.7487584176335,348
172,220.56169551073617,310.10812082349963,410
223,235.22398865903443,374.80423630031834,385
207,220.0455350462629,403.0040558666138,429
134,178.8242235724332,429.6283665163321,452
259,303.31258246068063,444.7190081777285,473
277,369.18579032944615,413.7372015008563,470
321,328.4599530398879,423.56064139347353,440
421,447.52976929916827,336.66579855303155,425
476,527.9622369225134,345.71681384905355,405
530,575.179192116962,300.2584990798376,377
589,678.9141155310493,301.917914530707,308
532,587.6223560989447,293.98921329923473,374
519,538.5327533201008,344.3217243229752,356
564,611.1974467053878,286.95560241288496,326
559,626.3772629651994,386.53827845149374,401
511,580.066539049751,437.513349499166,448
535,620.6331574802152,345.23114104963514,440
446,535.2765840628481,434.0758746208675,464
324,403.2041906273133,389.8164462780236,470
123,194.86242037776978,13.934302224473733,27
160,199.88733109491739,-12.694589522428625,15
217,283.2752160549744,-8.412457668586867,8
176,242.78244722341967,-14.136706315773758,33
394,464.93807703528876,183.06852257225162,207
373,408.46044133045365,163.23028346769775,201
367,439.53278493951166,102.74276524205273,167
415,512.4040193895119,121.33331982398866,143
414,478.04799750147504,70.55568014373588,144
380,442.5612126101005,57.16628167881552,153
377,438.2110170288528,86.14465692793625,167
400,407.5391485691405,103.63318321567237,154
414,477.08651313070715,97.90929154779342,154
408,476.5494902570755,129.0070005804961,187
395,426.7882999892902,173.68997813942957,185
396,463.08341412072366,93.24800418573476,177
411,461.10300193788106,81.51945423505006,168
424,441.919168346923,106.63583374391303,178
413,420.74954007943734,115.21381997287753,195
389,470.83621449359225,192.50936964143284,204
373,409.02502538165015,177.5017634841748,196
375,467.1544381946925,166.91206392788175,182
388,454.6790415080898,165.90701501755058,184
360,439.55221427256083,104.19963238705725,197
354,449.344552126499,113.62717198119617,181
359,414.5235434154967,56.56272376056327,156
371,400.32263353761584,75.30896392505892,142
387,478.72887767460355,46.094791985232845,134
392,421.7981228647885,53.0944335755275,131
414,421.18207878611247,91.46089785219928,132
430,497.1054114396684,42.865382803367254,142
430,453.87870541631213,86.55932882396101,155
435,487.2718364511443,85.76579857110197,156
445,538.2818387782257,155.2108523965668,166
421,508.29815260994366,128.36404375246005,196
441,480.5220859747598,124.53183803082537,201
405,467.84521515642683,133.32599515897604,224
377,445.372404719494,188.28689808292063,222
357,388.53373981939035,162.54949745070965,192
359,441.9121754980259,133.34085157399682,162
335,376.132310145152,101.49402029297843,187
359,398.4920918232258,200.10385160445924,217
372,404.7369906919789,199.45078861938944,219
350,443.99209435199316,141.54536040298578,191
351,433.30260370664337,102.09420228635796,169
357,402.62554281618077,60.53894985174098,145
374,422.1854453115025,102.92883311135533,138
398,463.1831370836368,57.73810940851956,138
400,460.4205143795216,98.75348834797026,155
386,430.16920785688825,112.16354184115809,158
400,475.9275514184813,149.33546319178748,192
428,515.9877278415765,105.79568584287509,181
440,479.2324754998806,163.16971773042232,172
437,496.9367118708268,116.25727461013565,191
428,487.4565061899225,155.1210614446114,213
432,521.4014852423336,199.61220462890347,219
409,443.4486915073802,133.0088399640555,210
422,496.8248790604683,112.8355084974111,201
449,548.6769395823889,174.55724605343616,183
444,517.5390532450424,72.27728459882518,163
433,501.42152183347434,125.34634795425463,155
438,481.64284150973117,104.65452765733887,140
452,529.9024973531904,139.0857178761685,167
439,500.135521694185,124.86254597692769,203
429,482.4515572250703,192.45736863516743,210
